,1,2,3,4,5,6,7,,1,44,45,45,8,9,10,11,12,13,14,15,16,17,18,17,,16,16,17,19,48,19,19,20,2,,,21,22,23,38,24,31,35,35,24,24,,,33,30,32,43,47,47,25,25,25,25,25,25,25,34,40,40,26,27,28,41,,41
Customer,,,Ormat,,,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,,Ormat,Super Gas,,,,,,,,,,,,,,,Ormat,,,,,Raphael,Raphael,,Geotérmica Platanares,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.074.758.1,,955.071.839.1,110111,,,,,,,,,,,,,,,955.071.277.1,,,,,MTZ9206NI−130,MTZ9206LSE−130,,955.070.403.1,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-0602,,,AJ21-0702,,,,,,,,,,,AJ20-0205,AJ21-0102,AJ21-0403,,AJ19-1205,AJ20-0101,,,,,,,,,,,,,,,AJ21-0601,,,,,AN20-0706,AN21-0604,,AJ21-0404,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,,V,,,,,,,,,,,V,V,V,,V,V,,,,,,,,,,,,,,,V,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,1,,,3,,,,,,,,,,,1,1,2,,3,20,,,,,,,,,,,,,,,1,,,,,5,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,"₪3,219",,,,,,,,,,,₪222,₪135,₪194,,₪144,₪78,,,,,,,,,,,,,,,₪350,,,,,"₪6,820","₪7,660",,"₪8,594",,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,0%,,,,,,,,,,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,0%,,,,,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪5,755",₪0,₪0,"₪9,657",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪222,₪135,₪388,₪0,₪431,"₪1,560",₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪350,₪0,₪0,₪0,₪0,"₪34,100","₪15,320",₪0,"₪34,376",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,Ormat,,,,,,,,,,,Ormat,Ormat,Ormat,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,955.070.093.1,,,,,,,,,,,955.070.741.1,955.070.841.1,955.074.758.1,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-1001,,,AJ21-0702,,,,,,,,,,,AJ20-0206,AJ21-0103,AJ21-0501,,AJ20-0206,AJ20-0106,,,,,,,,,,,,,,,,,,,,AN20-0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,V,,,,,,,,,,,V,V,V,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,2,,,7,,,,,,,,,,,10,3,1,,38,3,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,"₪3,219",,,,,,,,,,,₪223,₪135,₪194,,₪144,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,0%,,,,,,,,,,,0%,0%,0%,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪11,510",₪0,₪0,"₪22,533",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪2,233",₪404,₪194,₪0,"₪5,454",₪300,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪6,820",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,,,,,,,,,,,,Ormat,Super Gas,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,,,,,,,,,,,,955.070.741.1,110109,,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ20-1201,,,,,,,,,,,,,,AJ21-0501,AJ20-0802,,,AJ20-0304,AJ20-0205,,,,,,,,,,,,,,,,,,,,AN20-0906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,,,,,,,,,,,,,V,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,1,,,,,,,,,,,,,,6,30,,,10,13,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪5,755",,,,,,,,,,,,,,₪232,₪147,,,₪144,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,,,,,,,,,,,,0%,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪5,755",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,392","₪4,410",₪0,₪0,"₪1,435","₪1,300",₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪6,820",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,Ormat,,,,,,,,,,,,,,Ormat,Ormat,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,955.071.676.1,,,,,,,,,,,,,,955.070.741.1,955.070.841.1,,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,AJ21-0702,,,,,,,,,,,,,,AJ21-0601,AJ20-1103,,,AJ20-0901,AJ20-0402,,,,,,,,,,,,,,,,,,,,AN20-1106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,V,,,,,,,,,,,,,,V,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,10,,,,,,,,,,,,,,1,4,,,2,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,"₪6,043",,,,,,,,,,,,,,₪284,₪135,,,₪153,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,0%,,,,,,,,,,,,,,0%,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,"₪60,430",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪284,₪539,₪0,₪0,₪306,₪400,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪6,820",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ20-1104,,,AJ20-1101,AJ20-0502,,,,,,,,,,,,,,,,,,,,AN21-0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,8,,,3,10,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪135,,,₪153,₪100,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,078",₪0,₪0,₪459,"₪1,000",₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪20,460",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,955.071.365.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−80,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ20-1202,,,AJ20-1103,AJ21-0102,,,,,,,,,,,,,,,,,,,,AN21-0306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,2,,,3,5,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪135,,,₪153,₪130,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪270,₪0,₪0,₪459,₪650,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪6,820",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,Raphael,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,955.071.839.1,955.070.839.1,,,,,,,,,,,,,,,,,,,,MTZ9206NI−130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ20-1202,,,AJ21-0501,AJ21-0103,,,,,,,,,,,,,,,,,,,,AN21-0706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,V,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,1,,,30,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪135,,,₪153,₪130,,,,,,,,,,,,,,,,,,,,"₪6,820",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪135,₪0,₪0,"₪4,590",₪260,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,"₪20,460",₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,Ormat,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,955.071.839.1,955.074.813.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ20-1203,,,AJ21-0601,AJ20-0702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,5,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪135,,,₪168,₪134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,0%,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪674,₪0,₪0,₪504,₪134,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Super Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,110111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0403,,,,AJ20-0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,1,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪195,,,,₪91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪195,₪0,₪0,₪0,"₪3,640",₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.070.839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0403,,,,AJ20-0903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪195,,,,₪110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪195,₪0,₪0,₪0,₪660,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.070.839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0503,,,,AJ20-1003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,10,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪195,,,,₪110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,948",₪0,₪0,₪0,₪220,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.070.839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0601,,,,AJ20-1101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪252,,,,₪110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪252,₪0,₪0,₪0,₪220,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.074.813.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0601,,,,AJ20-1104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪252,,,,₪134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪252,₪0,₪0,₪0,₪134,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.070.839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0702,,,,AJ21-0401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪252,,,,₪130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,008",₪0,₪0,₪0,₪650,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
Customer,,,,,,,,,,,,,,,,,,Ormat,,,,Ormat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer PN,,,,,,,,,,,,,,,,,,955.070.841.1,,,,955.070.839.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PO REF,,,,,,,,,,,,,,,,,,AJ21-0703,,,,AJ21-0403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From Stock,,,,,,,,,,,,,,,,,,V,,,,V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,,,,,,,,,,,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,₪252,,,,₪130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discount,,,,,,,,,,,,,,,,,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final Price,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,"₪1,512",₪0,₪0,₪0,₪130,₪0,₪0,,₪0,₪0,,₪0,₪0,₪0,₪0,₪0,₪0,,,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0,₪0
